"All" - Name: "Unknown" (Engine time: 0) - 450814997,
	"AllVehicles" - Name: "Unknown" (Engine time: 0) - 463939057,
		"Land" - Name: "Vehicle" (Engine time: 0) - ,
			"LandVehicle" - Name: "Vehicle" (Engine time: 0) - ,
				"Car" - Name: "Car" (Engine time: 2) - .hemttout/dev,
					"Truck" - Name: "Car" (Engine time: 2) - ,
					"PaperCar" - Name: "Paper Car" (Engine time: 2) - ,
					"Wheeled_APC" - Name: "APC" (Engine time: 2) - ,
					"Bus" - Name: "Car" (Engine time: 2) - ,
					"Tractor" - Name: "Car" (Engine time: 2) - ,
					"Car_F" - Name: "Car" (Engine time: 2) - 463939057,
						"Truck_F" - Name: "Truck" (Engine time: 3) - .hemttout/dev,
							"Van_01_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
								"Van_01_transport_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
									"C_Van_01_transport_F" - Name: "Truck" (Engine time: 3) - ,
										"C_Van_01_transport_white_F" - Name: "Truck (White)" (Engine time: 3) - ,
										"C_Van_01_transport_red_F" - Name: "Truck (Red)" (Engine time: 3) - ,
									"I_G_Van_01_transport_F" - Name: "Truck" (Engine time: 3) - ,
										"B_G_Van_01_transport_F" - Name: "Truck" (Engine time: 3) - ,
											"rhsgref_nat_van" - Name: "Truck" (Engine time: 3) - RHS GREF,
										"O_G_Van_01_transport_F" - Name: "Truck" (Engine time: 3) - ,
									"I_C_Van_01_transport_F" - Name: "Truck" (Engine time: 3) - expansion,
										"I_C_Van_01_transport_brown_F" - Name: "Truck (Brown)" (Engine time: 3) - expansion,
										"I_C_Van_01_transport_olive_F" - Name: "Truck (Olive)" (Engine time: 3) - expansion,
											"UK3CB_ADA_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_ADE" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADE_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_ADM" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADM_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_ADP" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADP_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_ADR" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADR_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_CHD" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_W_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_FIA" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_FIA_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_LNM" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LNM_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_LSM" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LSM_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_NAP" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_NAP_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_MEE" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEE_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Transport_MEI" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEI_O_Van_Transport" - Name: "Van (Open)" (Engine time: 3) - 3CB FACTIONS,
								"Van_01_box_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
									"C_Van_01_box_F" - Name: "Truck Boxer" (Engine time: 3) - ,
										"C_Van_01_box_white_F" - Name: "Truck Boxer (White)" (Engine time: 3) - ,
										"C_Van_01_box_red_F" - Name: "Truck Boxer (Red)" (Engine time: 3) - ,
								"Van_01_fuel_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
									"C_Van_01_fuel_F" - Name: "Fuel Truck" (Engine time: 3) - ,
										"C_Van_01_fuel_white_F" - Name: "Fuel Truck (White)" (Engine time: 3) - ,
										"C_Van_01_fuel_red_F" - Name: "Fuel Truck (Red, White Tank)" (Engine time: 3) - ,
										"C_Van_01_fuel_white_v2_F" - Name: "Fuel Truck (White, Red Tank)" (Engine time: 3) - ,
										"C_Van_01_fuel_red_v2_F" - Name: "Fuel Truck (Red)" (Engine time: 3) - ,
									"I_G_Van_01_fuel_F" - Name: "Fuel Truck" (Engine time: 3) - ,
										"B_G_Van_01_fuel_F" - Name: "Fuel Truck" (Engine time: 3) - ,
											"rhsgref_nat_van_fuel" - Name: "Fuel Truck" (Engine time: 3) - RHS GREF,
										"O_G_Van_01_fuel_F" - Name: "Fuel Truck" (Engine time: 3) - ,
									"UK3CB_Van_Fuel_Base" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_ADA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADA_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_ADR" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADR_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_ADM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADM_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_CHD" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_W_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_FIA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_FIA_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_LNM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LNM_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_LSM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LSM_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_NAP" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_NAP_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Van_Fuel_MEI" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEI_B_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_ADA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADA_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_ADE" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADE_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_ADM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADM_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_ADR" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADR_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_CHD" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_W_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_FIA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_FIA_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_LNM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LNM_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_LSM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LSM_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_NAP" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_NAP_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_MEE" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEE_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Van_Fuel_MEI" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEI_I_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_ADA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADA_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_ADE" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADE_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_ADM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADM_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_ADR" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_ADR_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_CHD" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_CHD_W_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_FIA" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_FIA_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_LNM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LNM_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_LSM" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_LSM_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_NAP" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_NAP_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_MEE" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEE_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Van_Fuel_MEI" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_MEI_O_Van_Fuel" - Name: "Van (Fuel)" (Engine time: 3) - 3CB FACTIONS,
							"Truck_01_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
								"B_Truck_01_transport_F" - Name: "HEMTT Transport" (Engine time: 3) - 463939057,
									"B_Truck_01_covered_F" - Name: "HEMTT Transport (covered)" (Engine time: 3) - 463939057,
										"B_T_Truck_01_covered_F" - Name: "HEMTT Transport (covered)" (Engine time: 3) - expansion,
										"UK3CB_M977_Transport_Covered_Base" - Name: "M977 (Covered)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_B_M977_Transport_Covered_AAF" - Name: "M977 (Covered)" (Engine time: 3) - 3CB FACTIONS,
												"UK3CB_AAF_B_M977_Transport_Covered" - Name: "M977 (Covered)" (Engine time: 3) - 3CB FACTIONS,
									"B_Truck_01_mover_F" - Name: "HEMTT" (Engine time: 3) - 463939057,
										"B_Truck_01_box_F" - Name: "HEMTT Container" (Engine time: 3) - 463939057,
											"B_T_Truck_01_box_F" - Name: "HEMTT Container" (Engine time: 3) - expansion,
										"B_Truck_01_Repair_F" - Name: "HEMTT Repair" (Engine time: 3) - 463939057,
											"B_T_Truck_01_Repair_F" - Name: "HEMTT Repair" (Engine time: 3) - expansion,
										"B_Truck_01_ammo_F" - Name: "HEMTT Ammo" (Engine time: 3) - 463939057,
											"B_T_Truck_01_ammo_F" - Name: "HEMTT Ammo" (Engine time: 3) - expansion,
										"B_Truck_01_fuel_F" - Name: "HEMTT Fuel" (Engine time: 3) - 463939057,
											"B_T_Truck_01_fuel_F" - Name: "HEMTT Fuel" (Engine time: 3) - expansion,
										"B_T_Truck_01_mover_F" - Name: "HEMTT" (Engine time: 3) - expansion,
									"B_Truck_01_medical_F" - Name: "HEMTT Medical" (Engine time: 3) - 463939057,
										"B_T_Truck_01_medical_F" - Name: "HEMTT Medical" (Engine time: 3) - expansion,
									"B_T_Truck_01_transport_F" - Name: "HEMTT Transport" (Engine time: 3) - expansion,
									"UK3CB_M977_Transport_Open_Base" - Name: "M977 (Open)" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_M977_Transport_Open_AAF" - Name: "M977 (Open)" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_AAF_B_M977_Transport_Open" - Name: "M977 (Open)" (Engine time: 3) - 3CB FACTIONS,
								"Truck_01_viv_base_F" - Name: "Truck" (Engine time: 3) - enoch,
									"Truck_01_flatbed_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
										"B_Truck_01_flatbed_F" - Name: "HEMTT Flatbed" (Engine time: 3) - enoch,
										"B_T_Truck_01_flatbed_F" - Name: "HEMTT Flatbed" (Engine time: 3) - enoch,
									"Truck_01_cargo_base_F" - Name: "Truck" (Engine time: 3) - 463939057,
										"B_Truck_01_cargo_F" - Name: "HEMTT Cargo" (Engine time: 3) - enoch,
										"B_T_Truck_01_cargo_F" - Name: "HEMTT Cargo" (Engine time: 3) - enoch,
								"rhsusf_caiman_base" - Name: "Caiman" (Engine time: 3) - RHS USAF,
									"rhsusf_M1220_usarmy_d" - Name: "M1220" (Engine time: 3) - RHS USAF,
										"rhsusf_M1230a1_usarmy_d" - Name: "M1230A1 (MEDEVAC)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1230a1_usarmy_wd" - Name: "M1230A1 (MEDEVAC)" (Engine time: 3) - RHS USAF,
										"rhsusf_M1220_usarmy_wd" - Name: "M1220" (Engine time: 3) - RHS USAF,
									"rhsusf_caiman_GPK_base" - Name: "Caiman" (Engine time: 3) - RHS USAF,
										"rhsusf_M1220_M2_usarmy_d" - Name: "M1220 (O-GPK/M2)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1220_MK19_usarmy_d" - Name: "M1220 (O-GPK/Mk19)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1220_MK19_usarmy_wd" - Name: "M1220 (O-GPK/Mk19)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1220_M153_M2_usarmy_d" - Name: "M1220 (CROWS/M2)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1220_M153_MK19_usarmy_d" - Name: "M1220 (CROWS/Mk19)" (Engine time: 3) - RHS USAF,
													"rhsusf_M1220_M153_MK19_usarmy_wd" - Name: "M1220 (CROWS/Mk19)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1220_M153_M2_usarmy_wd" - Name: "M1220 (CROWS/M2)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1220_M2_usarmy_wd" - Name: "M1220 (O-GPK/M2)" (Engine time: 3) - RHS USAF,
										"rhsusf_M1230_M2_usarmy_d" - Name: "M1230 (O-GPK/M2)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1230_MK19_usarmy_d" - Name: "M1230 (O-GPK/Mk19)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1230_MK19_usarmy_wd" - Name: "M1230 (O-GPK/Mk19)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1230_M2_usarmy_wd" - Name: "M1230 (O-GPK/M2)" (Engine time: 3) - RHS USAF,
									"UK3CB_Caiman_Police_Base" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_B_Caiman_Police_APD" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_APD_B_Caiman_Police" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_I_Caiman_Police_APD" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
											"UK3CB_APD_I_Caiman_Police" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
										"UK3CB_O_Caiman_Police_APD" - Name: "Caiman" (Engine time: 3) - 3CB FACTIONS,
								"rhsusf_fmtv_base" - Name: "FMTV" (Engine time: 3) - 463939057,
									"rhsusf_M1078A1P2_fmtv_usarmy" - Name: "M1078A1P2" (Engine time: 3) - RHS USAF,
										"rhsusf_M1078A1P2_open_fmtv_usarmy" - Name: "M1078A1P2 (Open)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_WD_open_fmtv_usarmy" - Name: "M1078A1P2 (Open)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_D_open_fmtv_usarmy" - Name: "M1078A1P2 (Open)" (Engine time: 3) - RHS USAF,
										"rhsusf_M1078A1P2_flatbed_fmtv_usarmy" - Name: "M1078A1P2 (Flatbed)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_WD_flatbed_fmtv_usarmy" - Name: "M1078A1P2 (Flatbed)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_D_flatbed_fmtv_usarmy" - Name: "M1078A1P2 (Flatbed)" (Engine time: 3) - RHS USAF,
										"rhsusf_M1078A1P2_B_fmtv_usarmy" - Name: "M1078A1P2-B" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_B_open_fmtv_usarmy" - Name: "M1078A1P2-B (Open)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1078A1P2_B_WD_open_fmtv_usarmy" - Name: "M1078A1P2-B (Open)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1078A1P2_B_D_open_fmtv_usarmy" - Name: "M1078A1P2-B (Open)" (Engine time: 3) - RHS USAF,
											"rhsusf_M1078A1P2_B_flatbed_fmtv_usarmy" - Name: "M1078A1P2-B (Flatbed)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1078A1P2_B_WD_flatbed_fmtv_usarmy" - Name: "M1078A1P2-B (Flatbed)" (Engine time: 3) - RHS USAF,
												"rhsusf_M1078A1P2_B_D_flatbed_fmtv_usarmy" - Name: "M1078A1P2-B (Flatbed)" (Engine time: 3) - RHS USAF,
